('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         817564 function calls (793052 primitive calls) in 7.173 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1147    3.235    0.003    3.235    0.003 {built-in method posix.stat}
      239    1.091    0.005    1.091    0.005 {built-in method _io.open_code}
      311    1.013    0.003    1.013    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      239    0.367    0.002    0.367    0.002 {method 'read' of '_io.BufferedReader' objects}
      239    0.359    0.002    0.359    0.002 {method '__exit__' of '_io._IOBase' objects}
       29    0.141    0.005    0.141    0.005 {built-in method posix.listdir}
        1    0.055    0.055    0.055    0.055 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      239    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
        1    0.038    0.038    0.038    0.038 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.032    0.032    0.032    0.032 {method 'connect' of '_socket.socket' objects}
     2799    0.032    0.000    0.170    0.000 parser.py:301(parse_starttag)
 4578/233    0.030    0.000    0.088    0.000 _parser.py:512(_parse)
    26023    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
        1    0.024    0.024    0.025    0.025 {built-in method _socket.getaddrinfo}
        2    0.022    0.011    0.274    0.137 parser.py:134(goahead)
 5116/195    0.022    0.000    0.047    0.000 _compiler.py:37(_compile)
     10/8    0.019    0.002    0.027    0.003 {built-in method _imp.create_dynamic}
  765/758    0.016    0.000    0.172    0.000 {built-in method builtins.__build_class__}
    330/1    0.014    0.000    7.173    7.173 {built-in method builtins.exec}
     2799    0.014    0.000    0.021    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    82251    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
69326/62903    0.013    0.000    0.015    0.000 {built-in method builtins.len}
     2799    0.013    0.000    0.077    0.000 __init__.py:987(handle_starttag)
59862/59824    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
     8304    0.011    0.000    0.011    0.000 element.py:376(setup)
      511    0.010    0.000    2.288    0.004 <frozen importlib._bootstrap_external>:1593(find_spec)
 1136/195    0.010    0.000    0.089    0.000 _parser.py:452(_parse_sub)
     2799    0.010    0.000    0.090    0.000 _htmlparser.py:142(handle_starttag)
      263    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    26273    0.009    0.000    0.014    0.000 _parser.py:168(__getitem__)
     5844    0.009    0.000    0.042    0.000 __init__.py:826(endData)
     2800    0.009    0.000    0.035    0.000 element.py:1618(__init__)
     2648    0.009    0.000    0.052    0.000 parser.py:379(parse_endtag)
3786/3662    0.008    0.000    0.011    0.000 {built-in method __new__ of type object at 0xa43b40}
      693    0.007    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
    15001    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
     8409    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
    21580    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
 5072/385    0.006    0.000    0.010    0.000 _parser.py:178(getwidth)
    12897    0.006    0.000    0.009    0.000 _parser.py:261(get)
    11169    0.006    0.000    0.010    0.000 _markupbase.py:44(updatepos)
     2798    0.006    0.000    0.012    0.000 __init__.py:950(_popToTag)
     7154    0.006    0.000    0.006    0.000 {method 'join' of 'str' objects}
6800/6763    0.005    0.000    0.025    0.000 typing.py:392(inner)
      239    0.005    0.000    2.830    0.012 <frozen importlib._bootstrap_external>:1062(get_code)
     2800    0.005    0.000    0.006    0.000 __init__.py:809(pushTag)
     2752    0.005    0.000    0.013    0.000 __init__.py:867(object_was_parsed)
     2752    0.005    0.000    0.012    0.000 element.py:1291(__new__)
     2784    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.005    0.005    0.066    0.066 dammit.py:128(_populate_class_variables)
     2801    0.005    0.000    0.039    0.000 _htmlparser.py:204(handle_endtag)
    20601    0.005    0.000    0.005    0.000 _parser.py:240(__next)
      292    0.004    0.000    2.468    0.008 <frozen importlib._bootstrap>:1240(_find_spec)
     8227    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    14536    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    14848    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      239    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     2752    0.004    0.000    0.007    0.000 __init__.py:732(string_container)
     2799    0.004    0.000    0.004    0.000 __init__.py:786(popTag)
     2027    0.004    0.000    0.005    0.000 __init__.py:91(_replace_charref)
        2    0.004    0.002    0.004    0.002 {built-in method _codecs.utf_8_decode}
     6889    0.004    0.000    0.005    0.000 _parser.py:176(append)
    15467    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
7739/7738    0.003    0.000    0.010    0.000 {built-in method builtins.next}
    11315    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
     2799    0.003    0.000    0.012    0.000 parser.py:345(check_for_whole_start_tag)
      325    0.003    0.000    0.160    0.000 __init__.py:280(_compile)
    13570    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    10626    0.003    0.000    0.005    0.000 _parser.py:256(match)
      121    0.003    0.000    0.006    0.000 _compiler.py:467(_get_charset_prefix)
     2798    0.003    0.000    0.034    0.000 __init__.py:1053(handle_endtag)
      447    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
    299/7    0.003    0.000    5.659    0.808 <frozen importlib._bootstrap>:1349(_find_and_load)
      447    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:304(acquire)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
       41    0.003    0.000    0.017    0.000 filter.py:129(filter)
       10    0.003    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
     2250    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     1447    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
      478    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     7940    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
    298/6    0.003    0.000    5.658    0.943 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      271    0.002    0.000    1.038    0.004 http11.py:209(_receive_event)
     5583    0.002    0.000    0.011    0.000 filter.py:717(match)
     1807    0.002    0.000    0.004    0.000 typing.py:1188(__setattr__)
     6890    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      746    0.002    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
       19    0.002    0.000    0.005    0.000 enum.py:1708(convert_class)
     6255    0.002    0.000    0.010    0.000 __init__.py:122(unescape)
       50    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      447    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      239    0.002    0.000    1.819    0.008 <frozen importlib._bootstrap_external>:1183(get_data)
      520    0.002    0.000    0.007    0.000 typing.py:175(_type_check)
     2816    0.002    0.000    0.008    0.000 filter.py:538(matches_tag)
     1675    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     5613    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    268/6    0.002    0.000    5.537    0.923 <frozen importlib._bootstrap>:911(_load_unlocked)
      447    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      249    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      447    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
      273    0.002    0.000    2.459    0.009 <frozen importlib._bootstrap_external>:1491(_get_spec)
       30    0.002    0.000   10.272    0.342 __init__.py:1(<module>)
  551/550    0.002    0.000    0.004    0.000 _readers.py:157(__call__)
     5720    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     2655    0.002    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
     4316    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      282    0.002    0.000    0.010    0.000 typing.py:1242(__init__)
     2799    0.002    0.000    0.002    0.000 element.py:1812(is_empty_element)
      277    0.002    0.000    0.004    0.000 _connection.py:260(_process_event)
      582    0.002    0.000    0.013    0.000 _connection.py:426(next_event)
     2914    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     3547    0.001    0.000    0.002    0.000 _parser.py:293(tell)
      268    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        9    0.001    0.000    0.118    0.013 {method 'join' of 'bytes' objects}
      239    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      730    0.001    0.000    0.004    0.000 filter.py:612(_attribute_match)
      195    0.001    0.000    0.012    0.000 _compiler.py:511(_compile_info)
      693    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
      325    0.001    0.000    0.005    0.000 css_parser.py:1094(selector_iter)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     7624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      478    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      311    0.001    0.000    1.018    0.003 sync.py:124(read)
     2778    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
     5618    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     2692    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
      249    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
  268/265    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1147    0.001    0.000    3.236    0.003 <frozen importlib._bootstrap_external>:140(_path_stat)
     9386    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       24    0.001    0.000    0.021    0.001 dataclasses.py:921(_process_class)
      122    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
       13    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
     2042    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
      195    0.001    0.000    0.153    0.001 _compiler.py:740(compile)
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      390    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
     5675    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
    239/6    0.001    0.000    5.537    0.923 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.001    0.001    0.001    0.001 selector_events.py:1(<module>)
      913    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
   612/12    0.001    0.000    5.472    0.456 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      239    0.001    0.000    0.950    0.004 <frozen importlib._bootstrap_external>:1202(path_stats)
      269    0.001    0.000    0.103    0.000 http11.py:196(_receive_response_body)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      582    0.001    0.000    0.007    0.000 _connection.py:398(_extract_next_receive_event)
     1443    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
      717    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    52/14    0.001    0.000    0.019    0.001 css_parser.py:911(parse_selectors)
     1014    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     2055    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2800    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      178    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
     1346    0.001    0.000    0.002    0.000 filter.py:623(_match_attribute_value_helper)
     2858    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      368    0.001    0.000    1.231    0.003 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       29    0.001    0.000    0.168    0.006 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.001    0.001    2.218    2.218 _client.py:1(<module>)
