('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790565 function calls (766278 primitive calls) in 6.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    86728    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
71344/64991    0.013    0.000    0.015    0.000 {built-in method builtins.len}
57323/57315    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
    29632    0.010    0.000    0.015    0.000 _parser.py:168(__getitem__)
    25899    0.028    0.000    0.028    0.000 {method 'match' of 're.Pattern' objects}
    25504    0.006    0.000    0.006    0.000 _parser.py:240(__next)
    20445    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    16688    0.007    0.000    0.011    0.000 _parser.py:261(get)
    15467    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
    15426    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    14727    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
    14509    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    13800    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
    13227    0.004    0.000    0.005    0.000 _parser.py:256(match)
    12594    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
    11169    0.006    0.000    0.011    0.000 _markupbase.py:44(updatepos)
     9226    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     9103    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     8405    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
     8304    0.011    0.000    0.011    0.000 element.py:376(setup)
     8233    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
     7465    0.003    0.000    0.004    0.000 _parser.py:176(append)
     6709    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
6495/6470    0.005    0.000    0.015    0.000 typing.py:392(inner)
     6255    0.002    0.000    0.009    0.000 __init__.py:122(unescape)
6230/6162    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     6000    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     5927    0.002    0.000    0.008    0.000 {built-in method builtins.next}
     5844    0.010    0.000    0.049    0.000 __init__.py:826(endData)
     5720    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     5618    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     5616    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
     5583    0.002    0.000    0.012    0.000 filter.py:717(match)
 5521/190    0.022    0.000    0.054    0.000 _compiler.py:37(_compile)
 5468/371    0.007    0.000    0.011    0.000 _parser.py:178(getwidth)
 4759/198    0.035    0.000    0.101    0.001 _parser.py:512(_parse)
     4305    0.002    0.000    0.002    0.000 _parser.py:293(tell)
     4249    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     3821    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
3446/3417    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa43b40}
     3356    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     3251    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2922    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2816    0.002    0.000    0.008    0.000 filter.py:538(matches_tag)
     2801    0.005    0.000    0.045    0.000 _htmlparser.py:204(handle_endtag)
     2800    0.006    0.000    0.007    0.000 __init__.py:809(pushTag)
     2800    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2800    0.011    0.000    0.040    0.000 element.py:1618(__init__)
     2800    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2799    0.005    0.000    0.005    0.000 __init__.py:786(popTag)
     2799    0.016    0.000    0.022    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2799    0.015    0.000    0.089    0.000 __init__.py:987(handle_starttag)
     2799    0.004    0.000    0.014    0.000 parser.py:345(check_for_whole_start_tag)
     2799    0.011    0.000    0.104    0.000 _htmlparser.py:142(handle_starttag)
     2799    0.033    0.000    0.187    0.000 parser.py:301(parse_starttag)
     2799    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     2799    0.002    0.000    0.002    0.000 element.py:1812(is_empty_element)
     2798    0.007    0.000    0.014    0.000 __init__.py:950(_popToTag)
     2798    0.003    0.000    0.040    0.000 __init__.py:1053(handle_endtag)
     2778    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
     2761    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2752    0.007    0.000    0.017    0.000 __init__.py:867(object_was_parsed)
     2752    0.005    0.000    0.008    0.000 __init__.py:732(string_container)
     2752    0.006    0.000    0.012    0.000 element.py:1291(__new__)
     2683    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
