('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790306 function calls (766059 primitive calls) in 10.760 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      861    1.711    0.002    1.711    0.002 {built-in method posix.stat}
      313    1.296    0.004    1.296    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      165    1.272    0.008    1.272    0.008 {built-in method _io.open_code}
      225    0.289    0.001    0.379    0.002 {method 'read' of '_io.BufferedReader' objects}
      165    0.187    0.001    0.187    0.001 {method '__exit__' of '_io._IOBase' objects}
       20    0.073    0.004    0.073    0.004 {built-in method posix.listdir}
        1    0.072    0.072    0.072    0.072 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.044    0.044    0.044    0.044 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      165    0.035    0.000    0.035    0.000 {built-in method marshal.loads}
 4759/198    0.034    0.000    0.100    0.001 _parser.py:512(_parse)
     2799    0.034    0.000    0.182    0.000 parser.py:301(parse_starttag)
        1    0.031    0.031    0.031    0.031 {method 'connect' of '_socket.socket' objects}
    25899    0.027    0.000    0.027    0.000 {method 'match' of 're.Pattern' objects}
        2    0.025    0.012    0.297    0.149 parser.py:134(goahead)
      9/7    0.021    0.002    0.030    0.004 {built-in method _imp.create_dynamic}
 5521/190    0.020    0.000    0.049    0.000 _compiler.py:37(_compile)
        1    0.018    0.018    0.018    0.018 {built-in method _socket.getaddrinfo}
     2799    0.015    0.000    0.022    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
  546/541    0.014    0.000    0.129    0.000 {built-in method builtins.__build_class__}
    86688    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
     2799    0.014    0.000    0.085    0.000 __init__.py:987(handle_starttag)
71264/64951    0.012    0.000    0.013    0.000 {built-in method builtins.len}
     2800    0.011    0.000    0.038    0.000 element.py:1618(__init__)
     2799    0.011    0.000    0.100    0.000 _htmlparser.py:142(handle_starttag)
     8304    0.011    0.000    0.011    0.000 element.py:376(setup)
     5844    0.010    0.000    0.047    0.000 __init__.py:826(endData)
57283/57275    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
    29592    0.010    0.000    0.015    0.000 _parser.py:168(__getitem__)
 1270/190    0.009    0.000    0.101    0.001 _parser.py:452(_parse_sub)
      901    0.009    0.000    0.014    0.000 _compiler.py:243(_optimize_charset)
       39    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2648    0.009    0.000    0.057    0.000 parser.py:379(parse_endtag)
      414    0.008    0.000    1.281    0.003 <frozen importlib._bootstrap_external>:1593(find_spec)
    14727    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
    11169    0.008    0.000    0.012    0.000 _markupbase.py:44(updatepos)
3446/3417    0.007    0.000    0.009    0.000 {built-in method __new__ of type object at 0xa43b40}
     8405    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
     2752    0.007    0.000    0.016    0.000 __init__.py:867(object_was_parsed)
 5468/371    0.007    0.000    0.011    0.000 _parser.py:178(getwidth)
        1    0.007    0.007    0.018    0.018 cookiejar.py:1(<module>)
     2798    0.006    0.000    0.013    0.000 __init__.py:950(_popToTag)
    16688    0.006    0.000    0.010    0.000 _parser.py:261(get)
    20445    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
        1    0.006    0.006    0.056    0.056 dammit.py:128(_populate_class_variables)
    25504    0.006    0.000    0.006    0.000 _parser.py:240(__next)
     2752    0.006    0.000    0.012    0.000 element.py:1291(__new__)
     2800    0.006    0.000    0.007    0.000 __init__.py:809(pushTag)
     8233    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
6495/6470    0.005    0.000    0.016    0.000 typing.py:392(inner)
     2752    0.005    0.000    0.008    0.000 __init__.py:732(string_container)
     2801    0.005    0.000    0.043    0.000 _htmlparser.py:204(handle_endtag)
      165    0.005    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    15426    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    13800    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      165    0.004    0.000    2.207    0.013 <frozen importlib._bootstrap_external>:1062(get_code)
      306    0.004    0.000    0.172    0.001 __init__.py:280(_compile)
     2799    0.004    0.000    0.005    0.000 __init__.py:786(popTag)
    13227    0.004    0.000    0.006    0.000 _parser.py:256(match)
     2220    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    15467    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
     2799    0.004    0.000    0.013    0.000 parser.py:345(check_for_whole_start_tag)
    14509    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      215    0.003    0.000    1.407    0.007 <frozen importlib._bootstrap>:1240(_find_spec)
    12554    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
     2798    0.003    0.000    0.038    0.000 __init__.py:1053(handle_endtag)
     2027    0.003    0.000    0.005    0.000 __init__.py:91(_replace_charref)
6230/6162    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.003    0.003    0.003    0.003 models.py:909(text)
       41    0.003    0.000    0.018    0.000 filter.py:129(filter)
     2251    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     7465    0.003    0.000    0.004    0.000 _parser.py:176(append)
       16    0.003    0.000    0.006    0.000 enum.py:1708(convert_class)
     1447    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
     5583    0.003    0.000    0.012    0.000 filter.py:717(match)
      743    0.002    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
    218/4    0.002    0.000    4.021    1.005 <frozen importlib._bootstrap>:1349(_find_and_load)
     2816    0.002    0.000    0.009    0.000 filter.py:538(matches_tag)
    167/1    0.002    0.000   10.760   10.760 {built-in method builtins.exec}
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      260    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       51    0.002    0.000    0.004    0.000 <frozen abc>:105(__new__)
      260    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      330    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    217/4    0.002    0.000    4.021    1.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      804    0.002    0.000    0.003    0.000 _parser.py:372(_escape)
     6709    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     2655    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
     2799    0.002    0.000    0.002    0.000 element.py:1812(is_empty_element)
      122    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      165    0.002    0.000    1.750    0.011 <frozen importlib._bootstrap_external>:1183(get_data)
       64    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     6255    0.002    0.000    0.009    0.000 __init__.py:122(unescape)
     6000    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       17    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
     4305    0.002    0.000    0.002    0.000 _parser.py:293(tell)
      901    0.002    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
       19    0.002    0.000    0.104    0.005 {method 'join' of 'bytes' objects}
     5720    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     5927    0.002    0.000    0.008    0.000 {built-in method builtins.next}
      174    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      730    0.002    0.000    0.005    0.000 filter.py:612(_attribute_match)
      197    0.002    0.000    1.400    0.007 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2778    0.002    0.000    0.002    0.000 __init__.py:1065(handle_data)
      268    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     4249    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.004    0.004 constant.py:1(<module>)
    192/4    0.001    0.000    3.947    0.987 <frozen importlib._bootstrap>:911(_load_unlocked)
      412    0.001    0.000    0.002    0.000 _parser.py:265(getwhile)
     9226    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      856    0.001    0.000    1.710    0.002 <frozen importlib._bootstrap_external>:140(_path_stat)
     5618    0.001    0.000    0.001    0.000 element.py:2763(descendants)
      310    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      190    0.001    0.000    0.011    0.000 _compiler.py:511(_compile_info)
     1363    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
       21    0.001    0.000    7.520    0.358 __init__.py:1(<module>)
     2322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      192    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     9103    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
    442/8    0.001    0.000    3.873    0.484 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1057    0.001    0.000    0.003    0.000 _parser.py:312(_class_escape)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      190    0.001    0.000    0.164    0.001 _compiler.py:740(compile)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      853    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      942    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
     2761    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2922    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      380    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     2800    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     5616    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
    165/4    0.001    0.000    3.947    0.987 <frozen importlib._bootstrap_external>:989(exec_module)
     1346    0.001    0.000    0.002    0.000 filter.py:623(_match_attribute_value_helper)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1237    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     1678    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       40    0.001    0.000    0.010    0.000 response.py:122(decompress)
       10    0.001    0.000    0.006    0.001 enum.py:919(_convert_)
     2626    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
    52/14    0.001    0.000    0.016    0.001 css_parser.py:911(parse_selectors)
     3821    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2800    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      190    0.001    0.000    0.102    0.001 _parser.py:969(parse)
     3251    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      134    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
