('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790073 function calls (765848 primitive calls) in 6.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      861    2.885    0.003    2.885    0.003 {built-in method posix.stat}
      303    1.024    0.003    1.024    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      165    0.792    0.005    0.792    0.005 {built-in method _io.open_code}
      165    0.260    0.002    0.260    0.002 {method '__exit__' of '_io._IOBase' objects}
      225    0.217    0.001    0.299    0.001 {method 'read' of '_io.BufferedReader' objects}
       20    0.144    0.007    0.144    0.007 {built-in method posix.listdir}
        1    0.061    0.061    0.061    0.061 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      9/7    0.053    0.006    0.070    0.010 {built-in method _imp.create_dynamic}
      165    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
 4759/198    0.033    0.000    0.094    0.000 _parser.py:512(_parse)
        1    0.033    0.033    0.033    0.033 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.030    0.030    0.030    0.030 {method 'connect' of '_socket.socket' objects}
     2799    0.028    0.000    0.156    0.000 parser.py:301(parse_starttag)
    25899    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
 5521/190    0.024    0.000    0.053    0.000 _compiler.py:37(_compile)
        2    0.021    0.011    0.254    0.127 parser.py:134(goahead)
        1    0.017    0.017    0.017    0.017 {built-in method _socket.getaddrinfo}
    86666    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
     2799    0.013    0.000    0.019    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
71220/64929    0.012    0.000    0.014    0.000 {built-in method builtins.len}
     2799    0.012    0.000    0.072    0.000 __init__.py:987(handle_starttag)
  546/541    0.011    0.000    0.159    0.000 {built-in method builtins.__build_class__}
57261/57253    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
    29570    0.010    0.000    0.014    0.000 _parser.py:168(__getitem__)
     2799    0.009    0.000    0.085    0.000 _htmlparser.py:142(handle_starttag)
     5844    0.009    0.000    0.039    0.000 __init__.py:826(endData)
     2800    0.009    0.000    0.033    0.000 element.py:1618(__init__)
       39    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      901    0.009    0.000    0.013    0.000 _compiler.py:243(_optimize_charset)
     2648    0.008    0.000    0.050    0.000 parser.py:379(parse_endtag)
      414    0.008    0.000    2.116    0.005 <frozen importlib._bootstrap_external>:1593(find_spec)
 1270/190    0.008    0.000    0.095    0.000 _parser.py:452(_parse_sub)
     8304    0.008    0.000    0.008    0.000 element.py:376(setup)
3446/3417    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa43b40}
 5468/371    0.006    0.000    0.010    0.000 _parser.py:178(getwidth)
    16688    0.006    0.000    0.010    0.000 _parser.py:261(get)
    14727    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    25504    0.006    0.000    0.006    0.000 _parser.py:240(__next)
     2752    0.006    0.000    0.013    0.000 __init__.py:867(object_was_parsed)
    20445    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     8405    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     2798    0.006    0.000    0.011    0.000 __init__.py:950(_popToTag)
        1    0.005    0.005    0.057    0.057 dammit.py:128(_populate_class_variables)
    11169    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
     2800    0.005    0.000    0.006    0.000 __init__.py:809(pushTag)
     2752    0.005    0.000    0.010    0.000 element.py:1291(__new__)
      165    0.005    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     2801    0.004    0.000    0.037    0.000 _htmlparser.py:204(handle_endtag)
6495/6470    0.004    0.000    0.013    0.000 typing.py:392(inner)
     2752    0.004    0.000    0.007    0.000 __init__.py:732(string_container)
    13800    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     2220    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    15426    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     8233    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     2799    0.004    0.000    0.004    0.000 __init__.py:786(popTag)
      165    0.004    0.000    2.043    0.012 <frozen importlib._bootstrap_external>:1062(get_code)
    13227    0.004    0.000    0.005    0.000 _parser.py:256(match)
    12532    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
    15467    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    14509    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      215    0.003    0.000    2.334    0.011 <frozen importlib._bootstrap>:1240(_find_spec)
     2799    0.003    0.000    0.012    0.000 parser.py:345(check_for_whole_start_tag)
      306    0.003    0.000    0.170    0.001 __init__.py:280(_compile)
     2798    0.003    0.000    0.033    0.000 __init__.py:1053(handle_endtag)
     2027    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
6230/6162    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.003    0.003    0.003    0.003 models.py:909(text)
       41    0.003    0.000    0.017    0.000 filter.py:129(filter)
     2251    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       16    0.002    0.000    0.005    0.000 enum.py:1708(convert_class)
