date,am,pm,target,predict,predict_label
2020-04-17 00:00:00,21,2,working_day,1,weekend
2020-04-18 00:00:00,1,68,weekend,0,working_day
2020-04-19 00:00:00,18,15,weekend,0,working_day
2020-04-20 00:00:00,2,23,working_day,0,working_day
2020-04-21 00:00:00,0,25,working_day,0,working_day
2020-04-22 00:00:00,0,28,working_day,0,working_day
2020-04-23 00:00:00,10,33,working_day,0,working_day
2020-04-24 00:00:00,2,14,working_day,0,working_day
2020-04-25 00:00:00,30,74,weekend,0,working_day
2020-04-26 00:00:00,28,233,weekend,0,working_day
2020-04-27 00:00:00,4,2,working_day,0,working_day
2020-04-28 00:00:00,4,1,working_day,0,working_day
2020-04-29 00:00:00,0,17,working_day,0,working_day
2020-04-30 00:00:00,13,40,working_day,0,working_day
2020-05-01 00:00:00,8,52,working_day,0,working_day
2020-05-02 00:00:00,91,151,weekend,0,working_day
2020-05-03 00:00:00,47,133,weekend,0,working_day
2020-05-04 00:00:00,11,26,working_day,0,working_day
2020-05-05 00:00:00,81,58,working_day,0,working_day
2020-05-06 00:00:00,2,0,working_day,1,weekend
2020-05-07 00:00:00,14,38,working_day,0,working_day
2020-05-08 00:00:00,3,84,working_day,0,working_day
2020-05-09 00:00:00,0,86,weekend,0,working_day
2020-05-10 00:00:00,10,133,weekend,0,working_day
2020-05-11 00:00:00,3,183,working_day,0,working_day
2020-05-12 00:00:00,56,267,working_day,0,working_day
2020-05-13 00:00:00,6,205,working_day,0,working_day
2020-05-14 00:00:00,66,509,working_day,0,working_day
2020-05-15 00:00:00,10,0,working_day,1,weekend
2020-05-16 00:00:00,0,4,weekend,0,working_day
2020-05-17 00:00:00,2,46,weekend,0,working_day
2020-05-18 00:00:00,0,3,working_day,0,working_day
2020-05-19 00:00:00,20,14,working_day,0,working_day
2020-05-20 00:00:00,7,21,working_day,0,working_day
2020-05-21 00:00:00,1,48,working_day,0,working_day
